supplier_id,supplier_name,country,category,annual_spend_usd,tariff_rate,lead_time_days,single_source,spend_share,spend_score,tariff_score,single_source_score,lead_time_score,risk_score,risk_tier
S058,Redwood Manufacturing,Taiwan,Raw Metals,383300.0,0.2134,65,0,0.03535032140847928,0.11671280276816609,0.5454545454545454,0.0,0.47619047619047616,0.2759144160337932,Medium
S002,Meridian Components,Vietnam,Automotive Parts,254400.0,0.1927,94,0,0.023462357856293057,0.07211072664359862,0.45320855614973266,0.0,0.7523809523809524,0.27405846402732215,Low
S063,Pacific Technologies,Taiwan,Textiles,52100.0,0.2018,102,0,0.004804987595569451,0.0021107266435986148,0.49376114081996436,0.0,0.8285714285714286,0.27315281085696314,Low
S011,Titan Industries,Vietnam,Office Supplies,53300.0,0.1935,100,0,0.004915659094891588,0.0025259515570934246,0.45677361853832443,0.0,0.8095238095238095,0.2593447400350514,Low
S041,Frontier Holdings,Vietnam,Semiconductors,131900.0,0.2034,84,0,0.012164642300491565,0.02972318339100346,0.5008912655971479,0.0,0.6571428571428571,0.25924192243742417,Low
S054,Nova Supply Co.,South Korea,Textiles,310200.0,0.1452,116,0,0.02860858257477243,0.09141868512110726,0.24153297682709446,0.0,0.9619047619047619,0.24874214712623016,Low
S030,Solstice Systems,Japan,Chemicals,56400.0,0.1665,113,0,0.005201560468140442,0.0035986159169550174,0.3364527629233512,0.0,0.9333333333333333,0.2421953444479396,Low
S048,Vertex Partners,Mexico,Semiconductors,67600.0,0.2378,43,0,0.006234494461813721,0.007474048442906573,0.6541889483065954,0.0,0.26666666666666666,0.23887260144699593,Low
S012,Trident Partners,Bangladesh,Packaging Materials,234300.0,0.2045,60,0,0.021608610242647264,0.06515570934256056,0.5057932263814616,0.0,0.42857142857142855,0.23882818047004895,Low
S006,Trident Holdings,Canada,Raw Metals,106300.0,0.091,32,1,0.009803650314952643,0.02086505190311419,0.0,1.0,0.1619047619047619,0.23158848245180425,Low
S021,Element Materials,Germany,Logistics Services,110800.0,0.1631,102,0,0.010218668437410657,0.022422145328719726,0.321301247771836,0.0,0.8285714285714286,0.228523839482317,Low
S034,Pioneer Manufacturing,Vietnam,Industrial Equipment,141400.0,0.2146,45,0,0.013040791670125151,0.03301038062283737,0.5508021390374331,0.0,0.2857142857142857,0.21965141778636585,Low
S043,Argon Components,Japan,Chemicals,95900.0,0.1509,106,0,0.008844497320827455,0.017266435986159172,0.2669340463458111,0.0,0.8666666666666667,0.21612346649889905,Low
S038,Frontier Group,India,Semiconductors,48300.0,0.1461,113,0,0.004454527847716017,0.0007958477508650519,0.24554367201426028,0.0,0.9333333333333333,0.21394164831708085,Low
S045,Zenith Supply Co.,Malaysia,Textiles,155700.0,0.1695,63,0,0.014359627037047285,0.03795847750865052,0.34982174688057044,0.0,0.45714285714285713,0.18680341976362735,Low
S022,Meridian Industries,Vietnam,Packaging Materials,51300.0,0.2022,41,0,0.00473120659602136,0.0018339100346020769,0.4955436720142602,0.0,0.24761904761904763,0.18644782725924594,Low
S015,Ironclad Holdings,India,Office Supplies,57100.0,0.1372,98,0,0.005266118842745022,0.0038408304498269907,0.2058823529411764,0.0,0.7904761904761904,0.18168042511122093,Low
S017,Sterling Systems,Taiwan,Electronics Components,61900.0,0.2158,16,0,0.00570880484003357,0.005501730103806227,0.5561497326203207,0.0,0.009523809523809525,0.1701990967509998,Low
S019,Vanguard Partners,Malaysia,Logistics Services,237000.0,0.1888,26,0,0.02185762111612207,0.06608996539792387,0.43582887700534756,0.0,0.10476190476190476,0.16959443670516333,Low
S032,Union Materials,Canada,Textiles,367300.0,0.0982,94,0,0.03387470141751745,0.11117647058823528,0.03208556149732619,0.0,0.7523809523809524,0.16139457601222307,Low
S013,Element Manufacturing,South Korea,Packaging Materials,50100.0,0.1455,64,0,0.004620535096699223,0.0014186851211072668,0.24286987522281636,0.0,0.4666666666666667,0.14335750235923245,Low
S020,Vertex Components,South Korea,Electronics Components,147300.0,0.1529,45,0,0.013584926541792325,0.03505190311418685,0.2758467023172906,0.0,0.2857142857142857,0.1378793196422954,Low
S023,Trident Technologies,Canada,Office Supplies,112300.0,0.0959,99,0,0.010357007811563327,0.022941176470588232,0.021836007130124784,0.0,0.8,0.1345802139037433,Low
S065,Vertex Group,South Korea,Office Supplies,95800.0,0.1509,47,0,0.008835274695883943,0.017231833910034605,0.2669340463458111,0.0,0.3047619047619048,0.13182564148654116,Low
S061,Atlas Manufacturing,South Korea,Textiles,293300.0,0.1478,30,0,0.027049958959319,0.08557093425605536,0.25311942959001776,0.0,0.14285714285714285,0.12731422729519612,Low
S035,Lumen Manufacturing,India,Industrial Equipment,59000.0,0.1389,58,0,0.005441348716671739,0.00449826989619377,0.21345811051693403,0.0,0.4095238095238095,0.12704039904731945,Low
S064,Zenith Industries,Germany,Raw Metals,126400.0,0.1392,48,0,0.011657397928598438,0.02782006920415225,0.21479500891265593,0.0,0.3142857142857143,0.1213183840381072,Low
S004,Pacific Components,Japan,Automotive Parts,481900.0,0.1418,15,0,0.044443829602781544,0.15083044982698962,0.22638146167557935,0.0,0.0,0.12070509594212017,Low
S062,Falcon Materials,India,Textiles,49600.0,0.1524,35,0,0.004574421971981666,0.0012456747404844298,0.2736185383244207,0.0,0.19047619047619047,0.11109297622792431,Low
S049,Harbor Group,Japan,Office Supplies,80300.0,0.1412,40,0,0.007405767829639672,0.011868512110726643,0.22370766488413543,0.0,0.23809523809523808,0.10698056441828066,Low
S040,Frontier Supply Co.,South Korea,Electronics Components,75600.0,0.1484,27,0,0.006972304457294635,0.01024221453287197,0.2557932263814617,0.0,0.11428571428571428,0.09746560014380083,Low
S057,Pioneer Partners,India,Semiconductors,51200.0,0.1554,22,0,0.004721983971077848,0.0017993079584775087,0.28698752228164,0.0,0.06666666666666667,0.09672601446995911,Low
S055,Beacon Partners,Japan,Industrial Equipment,70400.0,0.1467,26,0,0.006492727960232042,0.008442906574394466,0.24821746880570408,0.0,0.10476190476190476,0.093134543657035,Low
